country,happiness_2019,happiness_2025,d_happiness,gdp_2019,gdp_2025,d_gdp,social_2019,social_2025,d_social,health_2019,health_2025,d_health,freedom_2019,freedom_2025,d_freedom,generosity_2019,generosity_2025,d_generosity,corruption_2019,corruption_2025,d_corruption,unexplained_2019,unexplained_2025,d_unexplained,d_measured_sum,hdi_1990,hdi_1991,hdi_1992,hdi_1993,hdi_1994,hdi_1995,hdi_1996,hdi_1997,hdi_1998,hdi_1999,hdi_2000,hdi_2001,hdi_2002,hdi_2003,hdi_2004,hdi_2005,hdi_2006,hdi_2007,hdi_2008,hdi_2009,hdi_2010,hdi_2011,hdi_2012,hdi_2013,hdi_2014,hdi_2015,hdi_2016,hdi_2017,hdi_2018,hdi_2019,hdi_2020,hdi_2021,hdi_2022,hdi_2023,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021,le_2022,le_2023,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021,gnipc_2022,gnipc_2023,d_hdi_2019_2023,d_hdi_2010_2019,d_hdi_1990_2019
Finland,7.80870008468628,7.764,-0.0447000846862799,1.28518950939178,1.915,0.62981049060822,1.49952590465546,1.638,0.1384740953445398,0.961271405220032,0.939,-0.022271405220032,0.662316739559174,1.105,0.4426832604408259,0.159670442342758,0.093,-0.066670442342758,0.477857261896133,0.491,0.013142738103867,2.76283502578735,1.582,-1.18083502578735,1.1351687369346628,0.823,0.827,0.833,0.838,0.85,0.856,0.863,0.871,0.88,0.889,0.898,0.908,0.912,0.915,0.911,0.914,0.917,0.92,0.921,0.916,0.92,0.924,0.924,0.934,0.936,0.938,0.94,0.942,0.945,0.947,0.947,0.949,0.946,0.948,80.012,80.392,80.508,80.869,81.055,81.377,81.303,81.497,81.626,81.864,81.822,81.814,81.243,81.91,54531.4261,54767.65641,53588.01555,53033.98224,53205.33544,53928.23803,54961.63245,56251.5904,57166.75971,57744.73991,57260.99451,58691.94153,58411.52447,57067.63693,0.0010000000000000009,0.026999999999999913,0.124
Denmark,7.64559984207153,7.539,-0.1065998420715299,1.32694852352142,1.986,0.65905147647858,1.50344920158386,1.633,0.1295507984161399,0.979332566261292,0.93,-0.0493325662612919,0.665039896965027,1.081,0.415960103034973,0.242793396115303,0.125,-0.117793396115303,0.495260328054428,0.474,-0.021260328054428,2.43274068832397,1.31,-1.12274068832397,1.0161760874986698,0.844,0.848,0.85,0.853,0.859,0.862,0.87,0.876,0.883,0.894,0.896,0.902,0.902,0.907,0.912,0.917,0.917,0.918,0.922,0.915,0.92,0.934,0.938,0.941,0.939,0.943,0.951,0.951,0.95,0.953,0.954,0.958,0.959,0.962,79.247,79.786,80.082,80.306,80.632,80.739,80.881,81.112,80.991,81.434,81.546,81.436,81.291,81.933,59933.03324,60216.96222,60405.4484,61569.19217,62951.49558,63758.46524,64668.87161,65947.7622,67091.10263,67926.47865,67365.66682,72638.24111,74965.94218,76007.85669,0.009000000000000008,0.03299999999999992,0.10899999999999999
Switzerland,7.55989980697632,7.018,-0.5418998069763203,1.39077425003052,2.028,0.63722574996948,1.47240340709686,1.534,0.0615965929031401,1.04053318500519,1.017,-0.02353318500519,0.628954470157623,1.035,0.4060455298423769,0.269055753946304,0.148,-0.121055753946304,0.407945901155472,0.452,0.0440540988445279,2.35026741027832,0.804,-1.5462674102783198,1.0043330326080309,0.858,0.86,0.863,0.867,0.87,0.872,0.875,0.88,0.886,0.889,0.892,0.895,0.896,0.901,0.906,0.909,0.918,0.926,0.934,0.942,0.945,0.946,0.949,0.952,0.956,0.957,0.959,0.96,0.962,0.965,0.963,0.968,0.966,0.97,82.287,82.574,82.617,82.689,83.084,82.846,83.446,83.414,83.564,83.78,83.063,83.648,83.2,83.954,81900.20392,78996.10126,80093.92938,79770.57698,79041.54726,80606.20914,79016.00197,77993.2677,77788.62854,78234.45513,74518.43775,80307.72449,82399.82968,81948.90177,0.0050000000000000044,0.020000000000000018,0.10699999999999998
Iceland,7.50449991226196,7.54,0.0355000877380398,1.3265016078949,1.971,0.6444983921051002,1.547567486763,1.72,0.1724325132369999,1.00084340572357,0.996,-0.00484340572357,0.661980748176575,1.105,0.4430192518234249,0.362330228090286,0.187,-0.1753302280902859,0.144540771842003,0.187,0.0424592281579969,2.46068811416626,1.373,-1.0876881141662602,1.122235751509666,0.841,0.853,0.86,0.863,0.868,0.863,0.873,0.881,0.893,0.895,0.902,0.91,0.917,0.925,0.928,0.935,0.936,0.941,0.935,0.934,0.935,0.941,0.946,0.95,0.954,0.956,0.959,0.962,0.966,0.969,0.965,0.967,0.964,0.972,81.594,81.972,82.346,81.743,82.43,82.164,81.829,82.241,82.453,82.847,82.711,82.843,81.588,82.691,46487.07281,49206.21769,51086.19251,57565.93608,57564.29421,60150.59304,64410.38052,64613.05678,66761.91754,67265.77526,61884.74398,62050.96254,65820.93494,69116.93736,0.0030000000000000027,0.03399999999999992,0.128
Norway,7.48799991607666,7.242,-0.2459999160766601,1.42420732975006,2.057,0.63279267024994,1.49517250061035,1.626,0.1308274993896498,1.00807189941406,0.983,-0.02507189941406,0.670200884342194,1.092,0.421799115657806,0.28798508644104,0.157,-0.1309850864410399,0.434100568294525,0.413,-0.021100568294525,2.16826629638672,0.913,-1.25526629638672,1.0082617311477708,0.856,0.863,0.868,0.875,0.89,0.887,0.894,0.9,0.908,0.913,0.924,0.923,0.923,0.93,0.937,0.939,0.942,0.943,0.943,0.944,0.947,0.949,0.95,0.953,0.956,0.959,0.962,0.965,0.966,0.967,0.969,0.969,0.967,0.97,81.039,81.245,81.446,81.668,82.087,82.273,82.415,82.624,82.76,82.955,83.195,83.166,82.631,83.308,81976.89052,84641.77177,86392.10063,86258.06815,86757.77703,84167.23004,81603.00032,83842.28368,87121.82464,83921.76323,78355.78043,90750.95096,113454.0095,112710.0211,0.0030000000000000027,0.020000000000000018,0.11099999999999999
Netherlands,7.44890022277832,7.223,-0.2259002227783204,1.33894634246826,1.983,0.6440536575317402,1.46364593505859,1.539,0.0753540649414099,0.975675344467163,0.922,-0.0536753444671629,0.613626480102539,1.0,0.386373519897461,0.33631756901741,0.175,-0.16131756901741,0.368569761514664,0.349,-0.0195697615146639,2.35211706161499,1.255,-1.09711706161499,0.8712185673713742,0.855,0.86,0.861,0.863,0.889,0.886,0.89,0.891,0.893,0.894,0.9,0.902,0.898,0.901,0.904,0.907,0.914,0.92,0.92,0.92,0.925,0.935,0.935,0.937,0.939,0.94,0.941,0.945,0.947,0.95,0.945,0.951,0.953,0.955,80.829,81.11,81.059,81.301,81.65,81.49,81.555,81.737,81.781,82.053,81.393,81.356,81.912,82.158,61020.6809,61601.37546,60338.92871,60358.80432,60609.04581,61962.23176,62135.08818,64383.80009,65928.93705,65792.10752,62085.31322,68775.37835,68566.17312,68344.30826,0.0050000000000000044,0.02499999999999991,0.09499999999999997
Sweden,7.35349988937378,7.255,-0.0984998893737802,1.32223522663116,1.95,0.6277647733688398,1.43334770202637,1.57,0.13665229797363,0.986470460891724,1.027,0.0405295391082759,0.650297701358795,1.07,0.419702298641205,0.27282789349556,0.149,-0.12382789349556,0.442066371440887,0.447,0.004933628559113,2.24629926681519,1.041,-1.20529926681519,1.1057546441555035,0.818,0.821,0.829,0.85,0.862,0.869,0.877,0.888,0.901,0.906,0.912,0.915,0.918,0.923,0.908,0.911,0.915,0.917,0.913,0.912,0.918,0.92,0.92,0.94,0.943,0.945,0.947,0.949,0.95,0.955,0.951,0.958,0.959,0.959,81.519,81.758,81.73,81.935,82.224,82.184,82.339,82.438,82.532,83.052,82.427,83.02,83.046,83.262,57709.76654,58475.54954,57780.03468,57907.25596,58807.67134,60213.74528,60589.38449,61796.46892,62074.86903,63446.80087,62091.82621,66039.56372,67099.33899,66102.08595,0.0040000000000000036,0.03699999999999992,0.137
New Zealand,7.29960012435913,6.995,-0.3046001243591298,1.24231791496277,1.876,0.6336820850372298,1.48721837997437,1.58,0.0927816200256301,1.00813829898834,0.924,-0.08413829898834,0.646789908409119,1.034,0.387210091590881,0.325726211071014,0.155,-0.170726211071014,0.461268275976181,0.422,-0.0392682759761809,2.12810802459717,1.003,-1.1251080245971703,0.819541010618206,0.811,0.813,0.822,0.838,0.852,0.858,0.862,0.871,0.881,0.886,0.896,0.902,0.905,0.91,0.912,0.917,0.918,0.921,0.92,0.923,0.926,0.927,0.929,0.933,0.932,0.934,0.938,0.936,0.938,0.938,0.94,0.939,0.933,0.938,81.052,80.842,81.167,81.612,81.411,81.587,82.003,81.605,81.884,81.832,82.663,82.3,81.006,82.088,37338.26894,38378.14053,38783.75403,40609.34159,41325.29403,42220.81473,43205.92578,44388.02116,45071.63423,46255.20497,45567.98605,46918.90857,47291.33306,47259.60137,0.0,0.0119999999999999,0.1269999999999999
Austria,7.29419994354248,6.845,-0.4491999435424798,1.31728553771973,1.954,0.6367144622802701,1.43744492530823,1.474,0.0365550746917699,1.00093352794647,0.926,-0.0749335279464699,0.603368878364563,0.979,0.375631121635437,0.25550976395607,0.171,-0.0845097639560699,0.281256139278412,0.285,0.0037438607215879,2.39844608306885,1.057,-1.34144608306885,0.8932012274265251,0.832,0.835,0.841,0.845,0.851,0.856,0.861,0.865,0.87,0.874,0.879,0.883,0.887,0.889,0.895,0.898,0.902,0.905,0.907,0.907,0.912,0.915,0.916,0.915,0.919,0.919,0.921,0.922,0.925,0.928,0.925,0.93,0.927,0.93,80.463,80.828,80.841,81.078,81.39,81.159,81.592,81.639,81.686,81.907,81.804,81.82,81.296,81.956,62287.37144,62981.65807,62700.86206,62391.00553,62502.99636,62182.82572,63620.12025,63623.02784,64705.12572,65534.68727,62011.50517,64408.3855,64374.35362,63479.20843,0.0020000000000000018,0.016000000000000014,0.09600000000000009
Luxembourg,7.23750019073486,7.063,-0.17450019073486,1.53667604923248,2.162,0.6253239507675199,1.38752841949463,1.465,0.07747158050537,0.986442685127258,0.981,-0.0054426851272579,0.610137045383453,1.056,0.445862954616547,0.195953920483589,0.111,-0.084953920483589,0.3670414686203,0.382,0.0149585313796999,2.15370035171509,0.907,-1.24670035171509,1.07322041165829,0.787,0.796,0.801,0.812,0.82,0.824,0.832,0.837,0.845,0.858,0.861,0.863,0.868,0.87,0.878,0.879,0.88,0.883,0.896,0.905,0.909,0.911,0.914,0.919,0.924,0.913,0.916,0.913,0.915,0.916,0.916,0.918,0.922,0.922,80.099,80.285,80.438,80.854,81.236,81.256,81.62,81.089,81.519,81.588,81.411,81.839,82.201,82.229,85004.52305,86326.35121,95714.75588,90852.25303,93690.27438,83321.2599,86487.36215,92345.81642,91959.2847,87899.62972,89601.73015,94502.53003,91143.90357,85461.24833,0.006000000000000005,0.007000000000000006,0.129
