country,year,happiness,gdp,social,health,freedom,generosity,corruption,unexplained
Finland,2025,7.764,1.915,1.638,0.939,1.105,0.093,0.491,1.582
Iceland,2025,7.54,1.971,1.72,0.996,1.105,0.187,0.187,1.373
Denmark,2025,7.539,1.986,1.633,0.93,1.081,0.125,0.474,1.31
Costa Rica,2025,7.439,1.697,1.483,0.739,1.101,0.059,0.122,2.236
Sweden,2025,7.255,1.95,1.57,1.027,1.07,0.149,0.447,1.041
Norway,2025,7.242,2.057,1.626,0.983,1.092,0.157,0.413,0.913
Netherlands,2025,7.223,1.983,1.539,0.922,1.0,0.175,0.349,1.255
Israel,2025,7.187,1.867,1.606,0.925,0.863,0.139,0.196,1.592
Luxembourg,2025,7.063,2.162,1.465,0.981,1.056,0.111,0.382,0.907
Switzerland,2025,7.018,2.028,1.534,1.017,1.035,0.148,0.452,0.804
New Zealand,2025,6.995,1.876,1.58,0.924,1.034,0.155,0.422,1.003
Mexico,2025,6.972,1.636,1.366,0.631,1.015,0.056,0.128,2.141
Ireland,2025,6.928,2.146,1.558,0.936,1.032,0.172,0.364,0.72
Belgium,2025,6.926,1.951,1.52,0.988,0.99,0.107,0.296,1.074
Australia,2025,6.916,1.937,1.497,0.956,0.989,0.159,0.294,1.085
Kosovo,2025,6.91,1.535,1.293,0.907,1.045,0.186,0.082,1.86
Germany,2025,6.882,1.948,1.49,0.876,0.948,0.145,0.349,1.128
Slovenia,2025,6.868,1.872,1.594,0.913,1.097,0.108,0.108,1.177
Austria,2025,6.845,1.954,1.474,0.926,0.979,0.171,0.285,1.057
Czechia,2025,6.821,1.869,1.594,0.72,1.045,0.106,0.081,1.405
United Arab Emirates,2025,6.821,1.98,1.096,0.71,1.071,0.149,0.228,1.587
Saudi Arabia,2025,6.817,1.949,1.412,0.831,1.042,0.096,0.196,1.291
United States,2025,6.816,2.002,1.516,0.678,0.776,0.155,0.155,1.534
Poland,2025,6.768,1.851,1.479,0.693,0.945,0.023,0.177,1.6
Canada,2025,6.741,1.917,1.525,0.955,0.948,0.153,0.321,0.923
Taiwan Province of China,2025,6.714,1.959,1.446,0.933,0.879,0.107,0.179,1.211
Belize,2025,6.711,1.471,1.42,0.609,1.146,0.07,0.08,1.913
Lithuania,2025,6.704,1.863,1.555,0.653,0.891,0.049,0.113,1.579
United Kingdom,2025,6.694,1.896,1.458,0.888,0.962,0.191,0.291,1.008
Serbia,2025,6.691,1.696,1.543,0.58,0.913,0.124,0.096,1.74
Uruguay,2025,6.635,1.748,1.54,0.525,1.054,0.07,0.194,1.505
Brazil,2025,6.634,1.602,1.396,0.508,0.964,0.081,0.122,1.96
Kazakhstan,2025,6.633,1.782,1.599,0.552,0.982,0.117,0.104,1.496
Romania,2025,6.629,1.818,1.233,0.608,0.965,0.03,0.034,1.941
France,2025,6.586,1.907,1.435,0.95,0.83,0.09,0.24,1.133
Singapore,2025,6.585,2.167,1.471,1.059,0.98,0.145,0.512,0.252
El Salvador,2025,6.578,1.448,1.086,0.633,1.089,0.047,0.289,1.987
Italy,2025,6.574,1.899,1.405,0.975,0.746,0.075,0.067,1.407
Panama,2025,6.547,1.787,1.479,0.818,0.975,0.039,0.042,1.407
Kuwait,2025,6.543,1.862,1.316,0.88,1.031,0.11,0.167,1.177
Spain,2025,6.54,1.871,1.552,1.036,0.857,0.112,0.167,0.946
Guatemala,2025,6.533,1.472,1.175,0.38,1.034,0.076,0.094,2.304
Malta,2025,6.436,1.942,1.532,0.948,0.977,0.183,0.12,0.735
Argentina,2025,6.43,1.7,1.517,0.621,0.97,0.052,0.076,1.493
Viet Nam,2025,6.428,1.51,1.375,0.698,1.147,0.039,0.207,1.453
Estonia,2025,6.41,1.824,1.604,0.692,0.99,0.105,0.353,0.842
Bosnia and Herzegovina,2025,6.381,1.616,1.425,0.678,0.874,0.152,0.024,1.612
Latvia,2025,6.365,1.797,1.61,0.512,0.94,0.103,0.097,1.305
Jamaica,2025,6.305,1.445,1.554,0.371,0.966,0.059,0.082,1.827
Chile,2025,6.302,1.73,1.427,0.792,0.926,0.087,0.087,1.254
Nicaragua,2025,6.301,1.32,1.349,0.74,1.03,0.097,0.278,1.487
Thailand,2025,6.296,1.632,1.424,0.694,1.087,0.195,0.029,1.234
Uzbekistan,2025,6.283,1.415,1.527,0.771,1.085,0.173,0.196,1.116
Slovakia,2025,6.255,1.815,1.63,0.564,0.847,0.056,0.065,1.278
Bahrain,2025,6.254,1.93,1.293,0.693,1.055,0.143,0.171,0.969
Philippines,2025,6.206,1.413,1.285,0.286,1.085,0.088,0.095,1.953
Paraguay,2025,6.198,1.547,1.529,0.209,1.039,0.097,0.058,1.719
Oman,2025,6.197,1.789,1.286,0.58,1.057,0.132,0.188,1.164
Ecuador,2025,6.144,1.505,1.168,0.835,0.86,0.058,0.085,1.634
Montenegro,2025,6.139,1.709,1.485,0.68,0.935,0.073,0.142,1.115
Japan,2025,6.13,1.858,1.414,1.041,0.875,0.019,0.202,0.722
Cyprus,2025,6.126,1.892,1.215,0.953,0.794,0.086,0.07,1.116
Honduras,2025,6.096,1.277,1.083,0.466,0.999,0.122,0.081,2.067
Dominican Republic,2025,6.093,1.664,1.406,0.702,1.015,0.061,0.188,1.057
China,2025,6.074,1.662,0.963,0.905,0.793,0.089,0.161,1.502
Kyrgyzstan,2025,6.049,1.296,1.565,0.759,1.108,0.142,0.102,1.077
Republic of Korea,2025,6.04,1.906,1.23,1.028,0.825,0.089,0.149,0.812
Colombia,2025,6.04,1.586,1.374,0.63,0.915,0.042,0.051,1.441
Portugal,2025,6.029,1.83,1.461,0.944,1.005,0.035,0.031,0.724
Croatia,2025,6.009,1.834,1.562,0.737,0.675,0.022,0.095,1.084
Malaysia,2025,6.005,1.766,1.17,0.413,1.109,0.161,0.112,1.275
Peru,2025,5.974,1.535,1.24,0.605,0.849,0.055,0.01,1.68
Mauritius,2025,5.939,1.707,1.384,0.704,0.926,0.092,0.127,0.999
Hungary,2025,5.937,1.819,1.625,0.633,0.785,0.103,0.056,0.916
Mongolia,2025,5.936,1.558,1.615,0.421,0.752,0.162,0.051,1.376
Trinidad and Tobago,2025,5.905,1.748,1.413,0.49,0.884,0.109,0.0,1.262
Republic of Moldova,2025,5.851,1.55,1.277,0.409,0.981,0.053,0.037,1.544
Bolivia,2025,5.835,1.442,1.2,0.36,0.909,0.059,0.038,1.827
Russian Federation,2025,5.834,1.821,1.331,0.505,0.809,0.112,0.133,1.122
Libya,2025,5.731,1.48,1.136,0.619,0.865,0.099,0.245,1.286
North Macedonia,2025,5.719,1.665,1.448,0.581,0.74,0.124,0.013,1.149
Algeria,2025,5.714,1.535,1.275,0.964,0.933,0.057,0.113,0.837
Bulgaria,2025,5.703,1.768,1.587,0.47,0.881,0.059,0.003,0.935
Greece,2025,5.697,1.795,1.257,0.799,0.478,0.023,0.064,1.282
