country,happiness_2019,happiness_2025,d_happiness,gdp_2019,gdp_2025,d_gdp,social_2019,social_2025,d_social,health_2019,health_2025,d_health,freedom_2019,freedom_2025,d_freedom,generosity_2019,generosity_2025,d_generosity,corruption_2019,corruption_2025,d_corruption,unexplained_2019,unexplained_2025,d_unexplained,d_measured_sum
Finland,7.80870008468628,7.764,-0.04470008468627995,1.28518950939178,1.915,0.62981049060822,1.49952590465546,1.638,0.1384740953445398,0.961271405220032,0.939,-0.022271405220032015,0.662316739559174,1.105,0.44268326044082595,0.159670442342758,0.093,-0.06667044234275801,0.477857261896133,0.491,0.013142738103867013,2.76283502578735,1.582,-1.18083502578735,1.1351687369346628
Denmark,7.64559984207153,7.539,-0.10659984207152995,1.32694852352142,1.986,0.65905147647858,1.50344920158386,1.633,0.12955079841613992,0.979332566261292,0.93,-0.0493325662612919,0.665039896965027,1.081,0.415960103034973,0.242793396115303,0.125,-0.11779339611530301,0.495260328054428,0.474,-0.021260328054428013,2.43274068832397,1.31,-1.1227406883239701,1.0161760874986698
Switzerland,7.55989980697632,7.018,-0.5418998069763203,1.39077425003052,2.028,0.63722574996948,1.47240340709686,1.534,0.061596592903140124,1.04053318500519,1.017,-0.023533185005190083,0.628954470157623,1.035,0.40604552984237696,0.269055753946304,0.148,-0.121055753946304,0.407945901155472,0.452,0.04405409884452799,2.35026741027832,0.804,-1.5462674102783198,1.0043330326080309
Iceland,7.50449991226196,7.54,0.03550008773803981,1.3265016078949,1.971,0.6444983921051002,1.547567486763,1.72,0.17243251323699993,1.00084340572357,0.996,-0.0048434057235700045,0.661980748176575,1.105,0.44301925182342494,0.362330228090286,0.187,-0.17533022809028598,0.144540771842003,0.187,0.04245922815799699,2.46068811416626,1.373,-1.0876881141662602,1.122235751509666
Norway,7.48799991607666,7.242,-0.24599991607666016,1.42420732975006,2.057,0.63279267024994,1.49517250061035,1.626,0.13082749938964988,1.00807189941406,0.983,-0.025071899414060073,0.670200884342194,1.092,0.42179911565780603,0.28798508644104,0.157,-0.13098508644103998,0.434100568294525,0.413,-0.021100568294525,2.16826629638672,0.913,-1.25526629638672,1.0082617311477708
Netherlands,7.44890022277832,7.223,-0.22590022277832045,1.33894634246826,1.983,0.6440536575317402,1.46364593505859,1.539,0.07535406494140995,0.975675344467163,0.922,-0.05367534446716293,0.613626480102539,1.0,0.38637351989746105,0.33631756901741,0.175,-0.16131756901741,0.368569761514664,0.349,-0.019569761514663997,2.35211706161499,1.255,-1.09711706161499,0.8712185673713742
Sweden,7.35349988937378,7.255,-0.09849988937378029,1.32223522663116,1.95,0.6277647733688398,1.43334770202637,1.57,0.13665229797363,0.986470460891724,1.027,0.04052953910827595,0.650297701358795,1.07,0.419702298641205,0.27282789349556,0.149,-0.12382789349556003,0.442066371440887,0.447,0.004933628559113001,2.24629926681519,1.041,-1.20529926681519,1.1057546441555037
New Zealand,7.29960012435913,6.995,-0.30460012435912986,1.24231791496277,1.876,0.6336820850372298,1.48721837997437,1.58,0.09278162002563017,1.00813829898834,0.924,-0.08413829898834002,0.646789908409119,1.034,0.38721009159088104,0.325726211071014,0.155,-0.17072621107101402,0.461268275976181,0.422,-0.03926827597618099,2.12810802459717,1.003,-1.1251080245971703,0.819541010618206
Austria,7.29419994354248,6.845,-0.44919994354247983,1.31728553771973,1.954,0.6367144622802701,1.43744492530823,1.474,0.036555074691769995,1.00093352794647,0.926,-0.0749335279464699,0.603368878364563,0.979,0.375631121635437,0.25550976395607,0.171,-0.08450976395606999,0.281256139278412,0.285,0.0037438607215879993,2.39844608306885,1.057,-1.34144608306885,0.8932012274265251
Luxembourg,7.23750019073486,7.063,-0.17450019073486,1.53667604923248,2.162,0.6253239507675199,1.38752841949463,1.465,0.07747158050537006,0.986442685127258,0.981,-0.005442685127257985,0.610137045383453,1.056,0.445862954616547,0.195953920483589,0.111,-0.084953920483589,0.3670414686203,0.382,0.01495853137969999,2.15370035171509,0.907,-1.24670035171509,1.07322041165829
